#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2640 1.2548E-02 1.2548E-02  -0.11   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 5.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
   9  0.116486  3.5097  5.2559 -2.7592 17.8281 14.6051 13.0796 11.8801 11.2027
  10  0.134851  3.5102  5.1892 -2.6276 17.4386 14.2613 12.7448 11.5509 10.8748
  11  0.165688  3.5129  5.1159 -2.4539 16.8775 13.7704 12.2710 11.1036 10.4394
  12  0.205420  3.5198  5.0635 -2.2802 16.2376 13.2149 11.7432 10.6340 10.0002
  13  0.233633  3.5245  5.0314 -2.1736 15.8486 12.8729 11.4184 10.3456  9.7318
  14  0.257282  3.5282  5.0076 -2.0931 15.5569 12.6142 11.1732 10.1276  9.5292
  15  0.280139  3.5315  4.9876 -2.0229 15.3079 12.3899 10.9606  9.9377  9.3525
  16  0.295449  3.5336  4.9733 -1.9769 15.1473 12.2445 10.8226  9.8140  9.2373
  17  0.304062  3.5349  4.9638 -1.9502 15.0556 12.1610 10.7430  9.7423  9.1703
  18  0.309882  3.5356  4.9567 -1.9317 14.9934 12.1041 10.6887  9.6931  9.1242
  19  0.314184  3.5362  4.9510 -1.9177 14.9472 12.0619 10.6484  9.6562  9.0895
  20  0.317772  3.5367  4.9454 -1.9052 14.9054 12.0237 10.6121  9.6229  9.0582
  21  0.320438  3.5369  4.9400 -1.8953 14.8748 11.9957 10.5852  9.5974  9.0334
  22  0.322721  3.5372  4.9367 -1.8877 14.8494 11.9724 10.5629  9.5772  9.0144
  23  0.325054  3.5376  4.9340 -1.8804 14.8253 11.9502 10.5418  9.5580  8.9965
  24  0.327909  3.5380  4.9309 -1.8722 14.7977 11.9249 10.5175  9.5361  8.9759
  25  0.332626  3.5387  4.9264 -1.8584 14.7493 11.8805 10.4758  9.4987  8.9414
