# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.0152 0.01508 8.14613 0.0900000036 1.0816895962    0.090 -2.865  3.3978  4.801    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -2.3e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.934 21.472 17.448 15.878 13.449 11.973
0.0152 0.01508 8.14613 0.0908084586 1.0893893242    0.091 -2.859  3.3988  4.802    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.32e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.917 21.458 17.432 15.862 13.432 11.956
0.0152 0.01508 8.14613 0.0983261243 1.1569699049    0.098 -2.795  3.4083  4.811    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.55e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.758 21.313 17.277 15.703 13.273 11.796
0.0152 0.01508 8.14613 0.1000000015 1.1711064577    0.100 -2.781  3.4105  4.813    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.61e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.722 21.281 17.242 15.668 13.237 11.761
0.0152 0.01508 8.14613 0.1083425879 1.2372419834    0.108 -2.720  3.4189  4.820    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -2.86e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.570 21.032 17.024 15.452 13.047 11.594
0.0152 0.01508 8.14613 0.1187647134 1.3111193180    0.119 -2.647  3.4297  4.830    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.2e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.387 20.299 16.483 14.933 12.666 11.337
0.0152 0.01508 8.14613 0.1200000122 1.3193155527    0.120 -2.638  3.4310  4.831    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.364 20.216 16.420 14.874 12.622 11.306
0.0152 0.01508 8.14613 0.1365821958 1.4197196960    0.136 -2.545  3.4421  4.839    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.133 19.490 15.854 14.341 12.216 11.006
0.0152 0.01508 8.14613 0.1400000006 1.4384527206    0.140 -2.527  3.4444  4.841    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.84e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.088 19.350 15.744 14.236 12.137 10.949
0.0152 0.01508 8.14613 0.1469820440 1.4749363661    0.147 -2.493  3.4485  4.844    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.03e-16      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 11.003 19.089 15.538 14.041 11.990 10.839
